taxid,species_taxid,genome,organism_name,infraspecific_name,accession,date,last_update,bioproject,assembly_level,submitter,genome_size,num_CDS,intron_per_kb
222929,199306,Coccidioides_posadasii_c735_delta_sowgp.JCVI-cpa1-1.0,Coccidioides posadasii C735 delta SOWgp,strain=C735 delta SOWgp,GCA_000151335,2016-03,2016-03,PRJNA9616,Contig,TIGR-J. Craig Venter Institute,27013412,7228,1.875951973
454284,199306,Coccidioides_posadasii_rmscc_3488.ASM15005v1,Coccidioides posadasii RMSCC 3488,strain=RMSCC 3488,GCA_000150055,2015-07,2015-07,PRJNA17783,Scaffold,Broad Institute,28211108,9856,2.608382884
443226,199306,Coccidioides_posadasii_str_silveira.CPS2,Coccidioides posadasii str. Silveira,strain=Silveira,GCA_000170175,2011-01,2011-01,PRJNA17787,Scaffold,Coccidioides Genome Resources Consortium; The Broad Institute Genome Sequencing Platform,27583241,10225,2.279329276
1445577,710243,Colletotrichum_fioriniae_pj7.CFIO01,Colletotrichum fioriniae PJ7,strain=PJ7,GCA_000582985,2014-04,2014-04,PRJNA233987,Scaffold,Universidad de Salamanca,49002765,13759,1.624070629
1237896,474922,Colletotrichum_gloeosporioides_cg_14.Colletotrichum_gloeosporioides1,Colletotrichum gloeosporioides Cg-14,strain=Cg-14,GCA_000446055,2014-12,2014-12,PRJNA176412,Contig,"Agricultural Research Organization, the Volcani Center, Bet Dagan 50250, Israel",53209944,16538,3.313773432
1213859,474922,Colletotrichum_gloeosporioides.GCA_000319635.1,Colletotrichum gloeosporioides Nara gc5,strain=Nara gc5,GCA_000319635,2012-12,2012-12,PRJNA171218,Scaffold,RIKEN Plant Science Center,55607143,15381,1.716977691
645133,31870,Colletotrichum_graminicola.GCA_000149035.1,Colletotrichum graminicola M1.001,strain=M1.001,GCA_000149035,2010-11,2010-11,PRJNA37879,Scaffold,Broad Institute,51644307,12020,1.657361293
80884,80884,Colletotrichum_higginsianum.GCA_000313795.2,Colletotrichum higginsianum,strain=IMI 349063,GCA_000313795,2012-05,2012-05,PRJNA47061,Scaffold,Max Planck Institute for Plant Breeding Research,49084868,16141,1.703402916
1573173,1573173,Colletotrichum_incanum.Ci238704v1,Colletotrichum incanum,strain=MAFF 238704,GCA_001625285,2016-04,2016-04,PRJNA286717,Scaffold,Max Planck Genome Center Cologne,53597417,12804,1.609797102
1460502,306554,Colletotrichum_nymphaeae_sa_01.CNYM01,Colletotrichum nymphaeae SA-01,strain=SA-01,GCA_001563115,2016-08,2016-08,PRJNA237763,Scaffold,Universidad de Salamanca,49956273,14404,1.575726539
1213857,5465,Colletotrichum_orbiculare.GCA_000350065.1,Colletotrichum orbiculare MAFF 240422,strain=MAFF 240422,GCA_000350065,2013-04,2013-04,PRJNA171217,Scaffold,RIKEN Plant Science Center,90086138,13346,2.163332055
1209931,1209931,Colletotrichum_salicis.CSAL01,Colletotrichum salicis,strain=CBS 607.94,GCA_001563125,2016-03,2016-03,PRJNA238477,Scaffold,Universidad de Salamanca,48373413,13783,1.653549223
703756,703756,Colletotrichum_simmondsii.CSIM01,Colletotrichum simmondsii,strain=CBS122122,GCA_001563135,2016-03,2016-03,PRJNA239224,Scaffold,Universidad de Salamanca,50474234,13884,1.631305222
1173701,1173701,Colletotrichum_sublineola.ASM69613v1,Colletotrichum sublineola,strain=TX430BB,GCA_000696135,2014-06,2014-06,PRJNA246670,Scaffold,Universidad de Salamanca,46755813,12699,1.551484532
708197,708197,Colletotrichum_tofieldiae.Ct0861v1,Colletotrichum tofieldiae,strain=0861,GCA_001625265,2016-04,2016-04,PRJNA286731,Scaffold,Max Planck Genome Center Cologne,52836184,12495,1.532997681
796925,34488,Conidiobolus_coronatus_nrrl_28638.Conidiobolus_coronatus_NRRL28638,Conidiobolus coronatus NRRL 28638,strain=NRRL 28638,GCA_001566745,2016-03,2016-03,PRJNA67455,Scaffold,JGI-PSF,39903661,10568,1.952773855
741705,80637,Coniophora_puteana_rwd_64_598_ss2.Conpu1,Coniophora puteana RWD-64-598 SS2,strain=RWD-64-598 SS2,GCA_000271625,2013-05,2013-05,PRJNA53977,Scaffold,DOE Joint Genome Institute,42968544,1013,3.686061508
1168221,61459,Coniosporium_apollinis_cbs_100218.Coni_apol_CBS100218__V1,Coniosporium apollinis CBS 100218,strain=CBS 100218,GCA_000281105,2013-05,2013-05,PRJNA157061,Scaffold,Broad Institute,28645321,9308,1.668064493
240176,5346,Coprinopsis_cinerea_okayama7_130.CC3,Coprinopsis cinerea okayama7#130,strain=okayama7#130,GCA_000182895,2014-08,2014-08,PRJNA1447,Contig,Broad Institute,36192590,13339,3.952788646
983644,73501,Cordyceps_militaris_cm01.CmilitarisCM01_v01,Cordyceps militaris CM01,strain=CM01,GCA_000225605,2012-05,2012-05,PRJNA41129,Scaffold,"Shanghai Institutes for Biological Sciences (SIBS), Chinese Academy of Sciences",32268578,9651,1.806283207
1334442,1859096,Cryptococcus_gattii_2001_935_1.Cryp_gatt_2001_935-1_V1,Cryptococcus gattii VGII 2001/935-1,strain=2001/935-1,GCA_000835815,2015-02,2015-02,PRJNA203282,Scaffold,Broad Institute,17566680,6495,4.090155943
1296104,1859096,Cryptococcus_gattii_99_473.Cryp_gatt_99_473_V1,Cryptococcus gattii VGII 99/473,strain=99/473,GCA_000836455,2015-03,2015-03,PRJNA191326,Scaffold,Broad Institute,17403577,6488,4.100462434
1296107,1859096,Cryptococcus_gattii_ca1014.Cryp_gatt_CA1014_V1,Cryptococcus gattii VGII CA1014,strain=CA1014,GCA_000875795,2015-02,2015-02,PRJNA191329,Scaffold,Broad Institute,17527606,6481,4.087503101
1296109,552467,Cryptococcus_gattii_ca1280.Cryp_gatt_CA1280_V1,Cryptococcus gattii CA1280,strain=CA1280,GCA_000836335,2015-02,2015-02,PRJNA191331,Scaffold,Broad Institute,17588017,6683,3.948152028
1296111,552467,Cryptococcus_gattii_ca1873.Cryp_gatt_CA1873_V1,Cryptococcus gattii CA1873,strain=CA1873,GCA_000855695,2015-02,2015-02,PRJNA191333,Scaffold,Broad Institute,17438253,6634,3.941600411
1296101,1859096,Cryptococcus_gattii_cbs_10090.Cryp_gatt_CBS10090_V1,Cryptococcus gattii VGII CBS 10090,strain=CBS 10090,GCA_000835765,2015-02,2015-02,PRJNA191323,Scaffold,Broad Institute,17478748,6485,4.092160874
1296102,37769,Cryptococcus_gattii_e566.Cryp_gatt_E566_V1,Cryptococcus gattii E566,strain=E566,GCA_000875815,2015-03,2015-03,PRJNA191324,Scaffold,Broad Institute,17996826,6732,3.917167065
1296103,37769,Cryptococcus_gattii_ejb2.Cryp_gatt_EJB2_V1,Cryptococcus gattii EJB2,strain=EJB2,GCA_000835745,2015-02,2015-02,PRJNA191325,Scaffold,Broad Institute,17671044,6763,3.925586375
1296105,1859121,Cryptococcus_gattii_ind107.Cryp_gatt_IND107_V2,Cryptococcus gattii VGIV IND107,strain=IND107,GCA_000835755,2015-02,2015-02,PRJNA191327,Scaffold,Broad Institute,17649378,6696,3.916578157
1296106,1859096,Cryptococcus_gattii_la55.Cryp_gatt_LA55_V1,Cryptococcus gattii VGII LA55,strain=LA55,GCA_000836315,2015-02,2015-02,PRJNA191328,Scaffold,Broad Institute,17360036,6497,4.088361077
1296117,1859096,Cryptococcus_gattii_mmrl2647.Cryp_gatt_MMRL2647_V2,Cryptococcus gattii VGII MMRL2647,strain=MMRL2647,GCA_000875855,2015-02,2015-02,PRJNA191372,Scaffold,Broad Institute,17485654,6475,4.083299811
1296108,37769,Cryptococcus_gattii_nt_10.Cryp_gatt_NT-10_V1,Cryptococcus gattii NT-10,strain=NT-10,GCA_000935105,2015-03,2015-03,PRJNA191330,Scaffold,Broad Institute,18032565,6744,3.90880275
294750,1859096,Cryptococcus_gattii_r265.CNB2,Cryptococcus gattii VGII R265,strain=R265,GCA_000149475,2015-08,2015-08,PRJNA13691,Scaffold,Broad Institute,17475811,6456,4.093351623
1296110,1859096,Cryptococcus_gattii_ram5.Cryp_gatt_Ram5_V1,Cryptococcus gattii VGII Ram5,strain=Ram5,GCA_000836375,2015-02,2015-02,PRJNA191332,Scaffold,Broad Institute,17453840,6463,4.098428953
1296112,37769,Cryptococcus_gattii_ru294.Cryp_gatt_Ru294_V1,Cryptococcus gattii Ru294,strain=Ru294,GCA_000836355,2015-02,2015-02,PRJNA191334,Scaffold,Broad Institute,17860310,6757,3.915704778
367775,37769,Cryptococcus_gattii_wm276.ASM18594v1,Cryptococcus gattii WM276,strain=WM276,GCA_000185945,2014-10,2014-10,PRJNA13692,Chromosome,Canada's Michael Smith Genome Sciences Centre,18374760,6329,3.853076358
214684,5207,Cryptococcus_neoformans.GCA_000091045.1,Cryptococcus neoformans var. neoformans JEC21,strain=JEC21,GCA_000091045,2010-03,2010-03,PRJNA13856,Chromosome,TIGR,19051922,6273,4.009530687
235443,5207,Cryptococcus_neoformans_var_grubii_h99.CNA3,Cryptococcus neoformans var. grubii H99,strain=H99,GCA_000149245,2015-11,2015-11,PRJNA411,Chromosome,Broad Institute,18916112,6962,4.136065681
283643,5207,Cryptococcus_neoformans_var_neoformans_b_3501a.ASM14938v1,Cryptococcus neoformans var. neoformans B-3501A,strain=B-3501A,GCA_000149385,2010-03,2010-03,PRJNA12386,Chromosome,Stanford University,19699782,6500,4.027551427
4903,4903,Cyberlindnera_jadinii.cj1,Cyberlindnera jadinii,strain=CBS1600,GCA_001245095,2015-07,2015-07,PRJEB7977,Scaffold,JUSTUS LIEBIG UNIVERSITAT,12707304,5057,0.275447821
1314674,394432,Cylindrobasidium_torrendii_fp15055_ss_10.Cylto1,Cylindrobasidium torrendii FP15055 ss-10,strain=FP15055 ss-10,GCA_000934385,2015-03,2015-03,PRJNA196018,Scaffold,DOE Joint Genome Institute,31574086,13927,3.537749934
1220924,293227,Cyphellophora_europaea_cbs_101466.Phia_euro_CBS_101466_V1,Cyphellophora europaea CBS 101466,strain=CBS 101466,GCA_000365145,2014-12,2014-12,PRJNA172438,Scaffold,Broad Institute,28781303,11094,0.9835616483
1858805,1858805,Dacryopinax_sp_djm_731_ss1.Dacryopinax_sp_DJM_731_SSP1_v1_0,Dacryopinax primogenitus,strain=DJM-731 SS1,GCA_000292625,2013-03,2013-03,PRJNA62091,Scaffold,DOE Joint Genome Institute,29503487,10240,3.25933903
1284197,430498,Dactylellina_haptotyla_cbs_200_50.MHA_v2,Dactylellina haptotyla CBS 200.50,strain=CBS 200.50,GCA_000441935,2013-07,2013-07,PRJNA186729,Scaffold,Lund University,39531920,10959,1.833493571
58627,58627,Debaryomyces_fabryi.debFab1.0,Debaryomyces fabryi,strain=CBS 789,GCA_001447935,2015-12,2015-12,PRJNA288902,Contig,"University of Natural Resources and Life Sciences, Vienna",11700921,6027,0.0572424158
284592,4959,Debaryomyces_hansenii_cbs767.ASM644v2,Debaryomyces hansenii CBS767,strain=CBS767,GCA_000006445,2015-02,2015-02,PRJNA13832,Chromosome,Genolevures Consortium,12152486,6270,0.1223359329
1214573,1214573,Diaporthe_ampelina.UCDDA912v1.0,Diaporthe ampelina,NA,GCA_001006365,2015-05,2015-05,PRJNA261766,Scaffold,University of California Davis,47325858,10704,1.711688025
732165,114155,Dichomitus_squalens_lyad_421_ss1.Dichomitus_squalens_v1_0,Dichomitus squalens LYAD-421 SS1,strain=LYAD-421 SS1,GCA_000275845,2013-05,2013-05,PRJNA53511,Scaffold,JGI,42748430,7192,3.689441939
420778,420778,Diplodia_seriata.UCDDS831v0.1,Diplodia seriata,NA,GCA_001006355,2015-05,2015-05,PRJNA261773,Scaffold,University of California Davis,37120944,9343,2.011723339
675120,64363,Dothistroma_septosporum.GCA_000340195.1,Dothistroma septosporum NZE10,strain=NZE10,GCA_000340195,2013-04,2013-04,PRJNA74753,Scaffold,JGI,30209431,12400,1.199007087
98403,98403,Drechmeria_coniospora.ASM162519v1,Drechmeria coniospora,strain=ARSEF 6962,GCA_001625195,2016-03,2016-03,PRJNA277234,Chromosome,"Biotechnology Research Institute, Chinese Academy of Agricultural Sciences",32831003,8236,1.409505584
1043628,314127,Drechslerella_stenobrocha_248.DREv1,Drechslerella stenobrocha 248,strain=248,GCA_000525045,2014-04,2014-04,PRJNA67941,Scaffold,"Institute of Microbiology, Chinese Academy of Sciences",21174508,5597,2.024305038
1003232,70536,Edhazardia_aedis_usnm_41457.Edha_aedis_V4b,Edhazardia aedis USNM 41457,strain=USNM 41457,GCA_000230595,2015-10,2015-10,PRJNA65125,Scaffold,Broad Institute,51348006,4189,0.002535902363
1247875,73230,Emmonsia_crescens_uamh_3008.ASM100828v1,Emmonsia crescens UAMH 3008,strain=UAMH 3008,GCA_001008285,2015-05,2015-05,PRJNA178252,Scaffold,Broad Institute,30697411,9444,1.768197044
1246674,73231,Emmonsia_parva_uamh_139.ASM101475v1,Emmonsia parva UAMH 139,strain=UAMH 139,GCA_001014755,2015-06,2015-06,PRJNA178178,Scaffold,Broad Institute,30969503,8562,1.809095563
1355160,6035,Encephalitozoon_cuniculi_ecuniii_l.ECIIIL,Encephalitozoon cuniculi EcunIII-L,strain=EcunIII-L,GCA_001078035,2015-07,2015-07,PRJNA210874,Contig,University of Ottawa,2292373,1834,0.04700815376
284813,6035,Encephalitozoon_cuniculi_gb_m1.ASM9122v1,Encephalitozoon cuniculi GB-M1,strain=GB-M1,GCA_000091225,2015-02,2015-02,PRJNA13833,Chromosome,Genoscope,2497519,2093,0.03960764166
907965,27973,Encephalitozoon_hellem_atcc_50504.ASM27781v3,Encephalitozoon hellem ATCC 50504,strain=ATCC 50504,GCA_000277815,2014-10,2014-10,PRJNA53973,Chromosome,University of British Columbia,2251784,1928,0.04358321784
876142,58839,Encephalitozoon_intestinalis_atcc_50506.ASM14646v1,Encephalitozoon intestinalis ATCC 50506,strain=ATCC 50506,GCA_000146465,2014-10,2014-10,PRJNA42703,Chromosome,"Keeling lab, University of British Columbia",2216898,1939,0.03750800103
1178016,571949,Encephalitozoon_romaleae_sj_2008.ASM28003v2,Encephalitozoon romaleae SJ-2008,strain=SJ-2008,GCA_000280035,2014-10,2014-10,PRJNA160949,Chromosome,University of Ottawa,2187595,1831,0.04367088695
1263415,364733,Endocarpon_pusillum_z07020.EPUS,Endocarpon pusillum Z07020,strain=Z07020,GCA_000464535,2013-09,2013-09,PRJNA181958,Scaffold,chinese academy of science,37130611,9238,1.217643591
481877,31281,Enterocytozoon_bieneusi_h348.ASM20948v1,Enterocytozoon bieneusi H348,strain=H348,GCA_000209485,2015-12,2015-12,PRJNA21011,Scaffold,Tufts Cummings School of Veterinary Medicine,3859738,3632,0
931890,45285,Eremothecium_cymbalariae_dbvpg_7215.ASM23536v1,Eremothecium cymbalariae DBVPG#7215,strain=DBVPG#7215,GCA_000235365,2014-10,2014-10,PRJNA60715,Chromosome,Carlsberg Laboratory,9669424,4434,0.0941597544
45286,45286,Eremothecium_sinecaudum.ASM154855v1,Eremothecium sinecaudum,strain=ATCC 58844,GCA_001548555,2016-02,2016-02,PRJNA310026,Chromosome,Duke University,8948761,4519,0.1084522804
52586,52586,Erysiphe_necator.ASM79871v1,Erysiphe necator,strain=c,GCA_000798715,2014-12,2014-12,PRJNA247407,Scaffold,"University of California, Davis",52505057,6484,1.535054262
1287681,97096,Eutypa_lata_ucrel1.UCREL1V03,Eutypa lata UCREL1,strain=UCREL1,GCA_000349385,2013-03,2013-03,PRJNA187490,Scaffold,UC Davis,54005819,11685,1.812544794
1182545,1033840,Exophiala_aquamarina_cbs_119918.Exop_aqua_CBS_119918_V1,Exophiala aquamarina CBS 119918,strain=CBS 119918,GCA_000709125,2015-07,2015-07,PRJNA164593,Scaffold,Broad Institute,41566958,13117,1.126248655
858893,5970,Exophiala_dermatitidis_nih_ut8656.Exop_derm_V1,Exophiala dermatitidis NIH/UT8656,strain=NIH/UT8656,GCA_000230625,2012-02,2012-02,PRJNA64935,Scaffold,Broad Institute,26376767,9269,1.14584191
212818,212818,Exophiala_mesophila.Exop_meso_CBS40295_V1,Exophiala mesophila,strain=CBS 40295,GCA_000836275,2015-02,2015-02,PRJNA325797,Scaffold,Broad Institute,29273723,9181,1.234671246
215243,215243,Exophiala_oligosperma.Exop_olig_CBS72588_V1,Exophiala oligosperma,strain=CBS 72588,GCA_000835515,2015-02,2015-02,PRJNA325798,Scaffold,Broad Institute,38224514,11892,1.252924084
1016849,1016849,Exophiala_sideris.Exop_side_CBS121828_V1,Exophiala sideris,strain=CBS 121828,GCA_000835395,2015-02,2015-02,PRJNA325799,Scaffold,Broad Institute,29505589,10191,1.201120562
91928,91928,Exophiala_spinifera.Exop_spin_CBS89968_V1,Exophiala spinifera,strain=CBS 89968,GCA_000836115,2015-02,2015-02,PRJNA325800,Scaffold,Broad Institute,32912349,12047,1.194876971
348802,348802,Exophiala_xenobiotica.Exop_xeno_CBS118157_V1,Exophiala xenobiotica,strain=CBS 118157,GCA_000835505,2015-02,2015-02,PRJNA325801,Scaffold,Broad Institute,31405760,12018,1.275569459
599839,599839,Fibroporia_radiculosa.ASM31352v1,Fibroporia radiculosa,strain=TFFH 294,GCA_000313525,2015-09,2015-09,PRJEA72357,Scaffold,"Forest Products, Mississippi State University",28378039,9262,4.403346155
436010,436010,Fibulorhizoctonia_sp_cbs_109695.Fibsp1,Fibulorhizoctonia sp. CBS 109695,strain=CBS 109695,GCA_001630335,2016-04,2016-04,PRJNA196049,Scaffold,DOE Joint Genome Institute,95118143,32830,3.501227532
1128425,40457,Fistulina_hepatica_atcc_64428.Fishe1,Fistulina hepatica ATCC 64428,strain=ATCC 64428,GCA_000934395,2015-03,2015-03,PRJNA196028,Scaffold,DOE Joint Genome Institute,33847808,9387,4.045259947
694068,208960,Fomitiporia_mediterranea_mf3_22.Fomme1,Fomitiporia mediterranea MF3/22,strain=MF3/22,GCA_000271605,2013-05,2013-05,PRJNA56107,Scaffold,JGI,63354419,533,3.33466821
743788,40483,Fomitopsis_pinicola_fp_58527_ss1.Fompi3,Fomitopsis pinicola FP-58527 SS1,strain=FP-58527 SS1,GCA_000344655,2013-07,2013-07,PRJNA52941,Scaffold,DOE Joint Genome Institute,41614358,13851,3.943635454
1442371,979981,Fonsecaea_multimorphosa_cbs_102226.Fons_mult_CBS_102226_V1,Fonsecaea multimorphosa CBS 102226,strain=CBS 102226,GCA_000836435,2015-03,2015-03,PRJNA233317,Scaffold,Broad Institute,33447075,12367,1.207170418
1442368,40355,Fonsecaea_pedrosoi_cbs_271_37.Fons_pedr_CBS_271_37_V1,Fonsecaea pedrosoi CBS 271.37,strain=CBS 271.37,GCA_000835455,2015-02,2015-02,PRJNA233314,Scaffold,Broad Institute,34688880,12526,1.252788084
1215603,5127,Fusarium_fujikuroi.EF1,Fusarium fujikuroi B14,strain=B14,GCA_000315255,2013-08,2013-08,PRJNA171493,Scaffold,Soonchunhyang University,43847810,14809,1.599204551
5127,5127,Fusarium_fujikuroi_gca_001023035.ASM102303v1,Fusarium fujikuroi,strain=KSU X-10626,GCA_001023035,2015-06,2015-06,PRJNA231623,Scaffold,University of Milan,43110459,14799,1.568015093
5127,5127,Fusarium_fujikuroi_gca_001023045.ASM102304v1,Fusarium fujikuroi,strain=FGSC 8932,GCA_001023045,2015-06,2015-06,PRJNA231623,Scaffold,University of Milan,43096072,14830,1.642041025
5127,5127,Fusarium_fujikuroi_gca_001023065.ASM102306v1,Fusarium fujikuroi,strain=KSU 3368,GCA_001023065,2015-06,2015-06,PRJNA231623,Scaffold,University of Milan,43499819,15182,1.593879555
5518,5518,Fusarium_graminearum_gca_000599445.CS3005v1,Fusarium graminearum,strain=CS3005,GCA_000599445,2014-05,2014-05,PRJNA235346,Chromosome,CSIRO,36667552,13355,2.094589903
229533,5518,Fusarium_graminearum.RR,Fusarium graminearum PH-1,strain=PH-1; NRRL 31084,GCA_000240135,2014-11,2014-11,PRJNA13839,Chromosome,International Gibberella zeae Genomics Consortium,38060440,14154,1.867684329
179993,179993,Fusarium_langsethiae.ASM129263v1,Fusarium langsethiae,strain=Fl201059,GCA_001292635,2015-10,2015-10,PRJNA271560,Scaffold,Bioforsk,37543021,11940,1.636019666
660025,5507,Fusarium_oxysporum.FO2,Fusarium oxysporum Fo5176,strain=Fo5176,GCA_000222805,2007-08,2011-02,PRJNA68027,Contig,CSIRO,61470697,17696,1.774680938
660027,5507,Fusarium_oxysporum_fo47.FO_Fo47_V1,Fusarium oxysporum Fo47,strain=Fo47,GCA_000271705,2014-04,2014-04,PRJNA67069,Scaffold,Broad Institute,49664628,18188,1.532391564
909455,5507,Fusarium_oxysporum_fosc_3_a.FO_FOSC_3_a_V1,Fusarium oxysporum FOSC 3-a,strain=FOSC 3-a,GCA_000271745,2014-04,2014-04,PRJNA67067,Scaffold,Broad Institute,47906303,17277,1.532635239
1089457,5507,Fusarium_oxysporum_f_sp_conglutinans_race_2_54008.FO_PHW808_V1,Fusarium oxysporum f. sp. conglutinans race 2 54008,strain=54008,GCA_000260215,2014-04,2014-04,PRJNA73543,Scaffold,Broad Institute,53575352,19846,1.533153853
1229664,5507,Fusarium_oxysporum_f_sp_cubense_race_1.Foc1_1.0,Fusarium oxysporum f. sp. cubense race 1,strain=race 1,GCA_000350345,2013-04,2013-04,PRJNA174274,Scaffold,BGI,47657417,15438,1.656589755
1229665,5507,Fusarium_oxysporum_f_sp_cubense_race_4.Foc4_1.0,Fusarium oxysporum f. sp. cubense race 4,strain=race 4,GCA_000350365,2013-04,2013-04,PRJNA174275,Scaffold,BGI,52926277,14459,1.66835709
1089451,5507,Fusarium_oxysporum_f_sp_cubense_tropical_race_4_54006.FO_II5_V1,Fusarium oxysporum f. sp. cubense tropical race 4 54006,strain=54006,GCA_000260195,2014-04,2014-04,PRJNA73539,Scaffold,Broad Institute,46553780,16626,1.526895298
1080343,5507,Fusarium_oxysporum_f_sp_lycopersici_mn25.FO_MN25_V1,Fusarium oxysporum f. sp. lycopersici MN25,strain=MN25,GCA_000259975,2014-04,2014-04,PRJNA72769,Scaffold,Broad Institute,48637398,17923,1.520843901
1089452,5507,Fusarium_oxysporum_f_sp_melonis_26406.FO_melonis_V1,Fusarium oxysporum f. sp. melonis 26406,strain=26406,GCA_000260495,2014-05,2014-05,PRJNA73541,Scaffold,Broad Institute,54034280,19655,1.534670803
1080344,5507,Fusarium_oxysporum_f_sp_pisi_hdv247.FO_HDV247_V1,Fusarium oxysporum f. sp. pisi HDV247,strain=HDV247,GCA_000260075,2014-04,2014-04,PRJNA72771,Scaffold,Broad Institute,55188216,19615,1.52721214
1089448,5507,Fusarium_oxysporum_f_sp_radicis_lycopersici_26381.FO_CL57_V1,Fusarium oxysporum f. sp. radicis-lycopersici 26381,strain=26381,GCA_000260155,2014-04,2014-04,PRJNA73535,Scaffold,Broad Institute,49359289,18235,1.529876439
1089458,5507,Fusarium_oxysporum_f_sp_raphani_54005.FO_PHW815_V1,Fusarium oxysporum f. sp. raphani 54005,strain=54005,GCA_000260235,2014-05,2014-05,PRJNA73545,Scaffold,Broad Institute,53499362,19295,1.512407767
1089449,5507,Fusarium_oxysporum_f_sp_vasinfectum_25433.FO_Cotton_V1,Fusarium oxysporum f. sp. vasinfectum 25433,strain=25433,GCA_000260175,2014-04,2014-04,PRJNA73537,Scaffold,Broad Institute,52914414,18900,1.514421195
1028729,101028,Fusarium_pseudograminearum.GCA_000303195.1,Fusarium pseudograminearum CS3096,strain=CS3096,GCA_000303195,2014-03,2014-03,PRJNA66583,Chromosome,CSIRO,36932859,12448,2.15791069
660122,140110,Fusarium_solani.v2.0,Nectria haematococca mpVI 77-13-4,NA,GCA_000151355,2007-03,2009-08,PRJNA16586,Scaffold,DOE Joint Genome Institute,51291997,15705,1.751153263
334819,117187,Fusarium_verticillioides.ASM14955v1,Fusarium verticillioides 7600,strain=7600,GCA_000149555,2007-03,2011-04,PRJNA15553,Chromosome,"Syngenta Biotechnology, Inc.",41885085,14166,1.792018297
644352,36779,Gaeumannomyces_graminis.Gae_graminis_V2,Gaeumannomyces tritici R3-111a-1,strain=R3-111a-1,GCA_000145635,2011-04,2012-02,PRJNA37931,Scaffold,Broad Institute,43768664,14174,1.932506868
685588,109633,Galerina_marginata_cbs_339_88.Galma1,Galerina marginata CBS 339.88,strain=CBS 339.88,GCA_000697645,2014-06,2014-06,PRJNA207683,Scaffold,DOE Joint Genome Institute,59418196,21385,3.776429094
914234,42742,Gelatoporia_subvermispora_b.Ceriporiopsis_subvermispora_B_v1_0,Gelatoporia subvermispora B,strain=B,GCA_000320605,2013-06,2013-06,PRJNA60419,Scaffold,DOE Joint Genome Institute,38969650,12121,4.257949146
1173061,1173061,Geotrichum_candidum.New2.3_08062011,Geotrichum candidum,strain=CLIB 918,GCA_001402995,2015-09,2015-09,PRJEB5752,Scaffold,INRA-MICALIS,24836057,6799,0.6606171786
1104152,101852,Glarea_lozoyensis_74030.LBAGla_1.0,Glarea lozoyensis 74030,strain=74030,GCA_000238015,2013-10,2013-10,PRJNA74639,Scaffold,Institute of Pharmaceutical Sciences,38718320,7904,3.85553292
1116229,101852,Glarea_lozoyensis_atcc_20868.GLAREA,Glarea lozoyensis ATCC 20868,strain=ATCC 20868,GCA_000409485,2013-06,2013-06,PRJNA72229,Scaffold,"Institute Of Microbiology, Chinese Academy of Sciences ",39509734,13083,1.682338708
670483,104355,Gloeophyllum_trabeum_atcc_11539.Glotr1_1,Gloeophyllum trabeum ATCC 11539,strain=ATCC 11539,GCA_000344685,2013-07,2013-07,PRJNA64553,Scaffold,JGI,37178225,11755,4.170059847
1344416,1123529,Gonapodya_prolifera_jel478.Ganpr1,Gonapodya prolifera JEL478,strain=JEL478,GCA_001574975,2016-03,2016-03,PRJNA207863,Scaffold,DOE Joint Genome Institute,48794828,13825,3.858932207
655863,226899,Grosmannia_clavigera_kw1407.Sanger-454-IlluminaPA_2.0,Grosmannia clavigera kw1407,strain=kw1407,GCA_000143105,2011-02,2011-02,PRJNA39837,Scaffold,Michael Smith Laboratories at UBC,29794006,8312,1.53600146
944289,206324,Gymnopus_luxurians_fd_317_m1.Gymlu1,Gymnopus luxurians FD-317 M1,strain=FD-317 M1,GCA_000827265,2015-02,2015-02,PRJNA68535,Scaffold,DOE JGI,66281670,14594,3.793055407
1246595,29833,Hanseniaspora_uvarum_dsm_2768.Huva2.0,Hanseniaspora uvarum DSM 2768,strain=DSM 2768,GCA_000968475,2015-04,2015-04,PRJNA178141,Contig,University of Osnabrück,9503661,3043,0
686832,76867,Hebeloma_cylindrosporum_h7.Hebeloma_cylindrosporum_h7_v2_0,Hebeloma cylindrosporum h7,strain=h7,GCA_000827355,2015-02,2015-02,PRJNA207849,Scaffold,DOE Joint Genome Institute,38226047,15373,3.638389552
747525,984962,Heterobasidion_irregulare_tc_32_1.Heterobasidion_irregulare_v2_0,Heterobasidion irregulare TC 32-1,strain=TC 32-1,GCA_000320585,2014-04,2014-04,PRJNA46703,Scaffold,JGI,33649967,13264,3.82030592
1043627,332947,Hirsutella_minnesotensis_3608.ASM95604v1,Hirsutella minnesotensis 3608,strain=3608,GCA_000956045,2015-04,2015-04,PRJNA67943,Scaffold,"Institute of Microbiology, Chinese Academy of Sciences",51111088,9390,1.292623415
447093,5037,Histoplasma_capsulatum_g186ar.ASM15011v1,Histoplasma capsulatum G186AR,strain=G186AR,GCA_000150115,2009-03,2009-03,PRJNA12635,Scaffold,WashU,30483324,9254,2.343279411
544712,5037,Histoplasma_capsulatum_h143.ASM15103v1,Histoplasma capsulatum H143,strain=H143,GCA_000151035,2009-06,2009-06,PRJNA29161,Scaffold,Broad Institute,38961716,9532,2.428474892
544711,5037,Histoplasma_capsulatum_h88.ASM15100v2,Histoplasma capsulatum H88,strain=H88,GCA_000151005,2011-03,2011-03,PRJNA29163,Scaffold,Broad Institute,37943219,9428,2.356022431
